-168.0,-77.0
95.0,-387.0,-80.0
115.0,-304.0,-87.0
111.0,-221.0,-93.0
92.0,-177.0,-87.0
83.0,-148.0,-74.0
68.0,-147.0,-68.0
61.0,-156.0,-55.0
47.0,-170.0,-40.0
51.0,-206.0,-33.0
67.0,-213.0,-29.0
69.0,-210.0,-28.0
67.0,-219.0,-33.0
84.0,-252.0,-32.0
107.0,-367.0,-42.0
131.0,-459.0,-51.0
108.0,-437.0,-55.0
89.0,-345.0,-54.0
86.0,-289.0,-52.0
86.0,-189.0,-43.0
77.0,-140.0,-25.0
63.0,-131.0,-4.0
63.0,-137.0,4.0
74.0,-143.0,21.0
111.0,-122.0,15.0
128.0,-111.0,4.0
137.0,-113.0,-43.0
162.0,-135.0,-82.0
180.0,-146.0,-105.0
179.0,-156.0,-112.0
162.0,-164.0,-111.0
157.0,-200.0,-113.0
157.0,-250.0,-112.0
151.0,-287.0,-101.0
135.0,-278.0,-47.0
58.0,-315.0,9.0
36.0,-258.0,10.0
48.0,-236.0,3.0
64.0,-235.0,3.0
96.0,-236.0,11.0
101.0,-241.0,29.0
103.0,-242.0,31.0
97.0,-234.0,31.0
97.0,-231.0,21.0
96.0,-264.0,15.0
99.0,-268.0,0.0
110.0,-261.0,-26.0
128.0,-255.0,-28.0
122.0,-246.0,-13.0
105.0,-243.0,-3.0
95.0,-221.0,8.0
71.0,-203.0,18.0
49.0,-204.0,23.0
42.0,-214.0,25.0
38.0,-219.0,19.0
44.0,-215.0,3.0
54.0,-217.0,-8.0
62.0,-220.0,-15.0
70.0,-225.0,-28.0
87.0,-221.0,-44.0
99.0,-218.0,-54.0
104.0,-240.0,-66.0
114.0,-278.0,-79.0
127.0,-302.0,-84.0
132.0,-261.0,-79.0
113.0,-197.0,-67.0
91.0,-175.0,-59.0
84.0,-154.0,-44.0
79.0,-178.0,-21.0
91.0,-209.0,0.0
105.0,-215.0,5.0
108.0,-201.0,-3.0
114.0,-173.0,-20.0
114.0,-157.0,-29.0
116.0,-221.0,4.0
113.0,-160.0,-44.0
145.0,-157.0,-39.0
152.0,-136.0,-29.0
137.0,-126.0,-26.0
132.0,-139.0,-21.0
151.0,-489.0,105.0
242.0,-237.0,8.0
258.0,-258.0,54.0
249.0,-213.0,60.0
232.0,-153.0,103.0
192.0,-122.0,194.0
169.0,-85.0,256.0
155.0,-38.0,230.0
141.0,-165.0,346.0
123.0,-59.0,236.0
136.0,-72.0,200.0
121.0,-74.0,138.0
102.0,-88.0,127.0
101.0,-123.0,135.0
113.0,-130.0,144.0
129.0,-128.0,138.0
147.0,-120.0,128.0
176.0,-118.0,125.0
190.0,-100.0,117.0
218.0,-88.0,101.0
261.0,-70.0,60.0
296.0,-73.0,35.0
304.0,-84.0,-4.0
308.0,-107.0,-44.0
308.0,-138.0,-83.0
305.0,-149.0,-93.0
305.0,-179.0,-99.0
278.0,-175.0,-85.0
221.0,-170.0,-97.0
195.0,-177.0,-81.0
177.0,-89.0,-85.0
173.0,-80.0,-75.0
149.0,-98.0,-64.0
136.0,-113.0,-76.0
146.0,-121.0,-84.0
154.0,-124.0,-87.0
158.0,-136.0,-85.0
172.0,-167.0,-70.0
186.0,-196.0,-43.0
188.0,-203.0,-6.0
174.0,-135.0,42.0
173.0,-95.0,60.0
174.0,-98.0,52.0
184.0,-163.0,-6.0
190.0,-199.0,-35.0
191.0,-266.0,-76.0
189.0,-284.0,-93.0
179.0,-257.0,-71.0
170.0,-253.0,-45.0
160.0,-259.0,-41.0
151.0,-260.0,-35.0
135.0,-245.0,-35.0
123.0,-229.0,-29.0
115.0,-226.0,-23.0
113.0,-222.0,-26.0
118.0,-213.0,-24.0
113.0,-206.0,-22.0
110.0,-194.0,-14.0
106.0,-142.0,107.0
-317.0,-160.0,-179.0
67.0,-213.0,-70.0
72.0,-248.0,-53.0
239.0,-243.0,-21.0
218.0,-215.0,-13.0
218.0,-268.0,-93.0
241.0,-176.0,-122.0
184.0,-208.0,-183.0
78.0,-195.0,-130.0
78.0,-228.0,-124.0
119.0,-226.0,-127.0
143.0,-221.0,-129.0
174.0,-228.0,-138.0
112.0,-204.0,-138.0
56.0,-191.0,-133.0
38.0,-198.0,-138.0
58.0,-233.0,-136.0
58.0,-224.0,-124.0
48.0,-209.0,-133.0
47.0,-206.0,-134.0
45.0,-197.0,-139.0
57.0,-190.0,-137.0
65.0,-201.0,-132.0
51.0,-234.0,-127.0
55.0,-217.0,-123.0
60.0,-214.0,-136.0
53.0,-206.0,-124.0
50.0,-205.0,-138.0
35.0,-214.0,-142.0
23.0,-201.0,-131.0
37.0,-187.0,-141.0
38.0,-188.0,-143.0
34.0,-199.0,-139.0
30.0,-198.0,-146.0
45.0,-191.0,-148.0
48.0,-181.0,-157.0
48.0,-189.0,-170.0
56.0,-200.0,-172.0
62.0,
