-239 , 56 , 61
-239 , 55 , 61
-233 , 53 , 61
-233 , 55 , 62
-235 , 55 , 65
-236 , 56 , 65
-238 , 53 , 65
-236 , 51 , 65
-234 , 49 , 69
-236 , 48 , 69
-238 , 36 , 77
-236 , 40 , 74
-235 , 37 , 77
-234 , 37 , 79
-236 , 36 , 81
-232 , 36 , 83
-231 , 36 , 78
-234 , 28 , 83
-239 , 20 , 69
-221 , 20 , 53
-299 , -6 , -17
-288 , 9 , -19
-178 , 7 , 7
-210 , 7 , -14
-248 , 5 , 2
-243 , 9 , 19
-251 , 8 , 23
-248 , 9 , 19
-249 , 2 , 22
-252 , 6 , 14
-251 , 3 , 14
-248 , 3 , 13
-249 , 1 , 4
-245 , 0 , 1
-237 , -7 , -2
-253 , 2 , -7
-255 , 7 , -6
-235 , -5 , 3
-268 , 0 , -6
-309 , -6 , 1
-191 , 4 , 149
-212 , 94 , 92
-218 , 18 , 115
-219 , 14 , 129
-219 , 9 , 123
-220 , 9 , 125
-222 , 8 , 123
-222 , 7 , 122
-223 , 5 , 123
-217 , 0 , 123
-197 , -5 , 156
-183 , 4 , 140
-207 , 13 , 137
-208 , 2 , 148
-207 , 9 , 142
-211 , 4 , 143
-209 , 5 , 139
-216 , 5 , 141
-213 , 1 , 135
-210 , 4 , 138
-212 , 5 , 125
-214 , 1 , 132
-219 , 2 , 133
-214 , 3 , 128
-218 , 3 , 129
-213 , 3 , 134
-210 , -1 , 139
-210 , 1 , 140
-194 , -1 , 163
-192 , 0 , 164
-180 , 1 , 171
-175 , 6 , 183
-172 , 7 , 191
-173 , 6 , 187
-173 , 7 , 187
-173 , 7 , 189
-173 , 8 , 181
-176 , 10 , 183
-174 , 7 , 184
-173 , 8 , 184
-174 , 7 , 187
-172 , 5 , 185
-173 , 5 , 185
-173 , 8 , 183
-174 , 7 , 185
-177 , 5 , 189
-175 , 4 , 184
-175 , 5 , 186
-176 , 8 , 184
-174 , 7 , 184
-179 , 6 , 184
-175 , 5 , 185
-184 , 5 , 176
-172 , 9 , 188
-190 , -7 , 182
-206 , -4 , 160
-213 , -29 , 126
-221 , -38 , 122
-246 , -4 , 66
-248 , 17 , 23
-266 , 1 , -2
-235 , -8 , -28
-269 , -8 , 8
-211 , -21 , -27
-214 , -2 , -18
-245 , 6 , -8
-247 , 30 , 13
-252 , 29 , 25
-251 , 24 , 17
-250 , 19 , 21
-249 , 25 , 18
-248 , 20 , 12
-251 , 10 , -3
-237 , 2 , -6
-227 , 0 , 1
-246 , 3 , -8
-271 , 5 , -10
-309 , -9 , -11
-197 , -25 , 130
-183 , 64 , 138
-203 , -8 , 166
-191 , -8 , 177
-178 , 10 , 176
-175 , 11 , 188
-179 , 13 , 186
-178 , 14 , 182
-179 , 15 , 179
-178 , 17 , 179
-177 , 17 , 184
-177 , 16 , 181
-177 , 17 , 181
-177 , 16 , 182
-177 , 15 , 183
-178 , 18 , 181
-176 , 15 , 178
-186 , 7 , 187
-205 , 24 , 155
-219 , 4 , 137
-247 , 8 , 75
-249 , 15 , 36
-246 , -9 , 60
-240 , -9 , 69
-254 , -1 , 51
-239 , -3 , 69
-239 , -21 , 73
-243 , -19 , 67
-243 , -11 , 68
-240 , -3 , 67
-246 , -7 , 75
-242 , 1 , 69
-238 , -9 , 60
-246 , -6 , 66
-242 , -6 , 62
-243 , -7 , 62
-244 , -12 , 62
-241 , -12 , 63
-244 , -14 , 62
-243 , -16 , 64
-245 , -15 , 62
-243 , -15 , 62
-243 , -13 , 62
-244 , -18 , 65
-242 , -17 , 63
-243 , -18 , 64
-242 , -19 , 63
-241 , -26 , 65
-250 , -19 , 62
-248 , -17 , 78
-243 , -12 , 83
-250 , -11 , 75
-253 , -41 , 66
-243 , -44 , 59
-241 , -26 , 68
-241 , -4 , 84
-236 , -7 , 83
-238 , -11 , 77
-240 , -22 , 68
-239 , -24 , 70
-240 , -19 , 68
-241 , -19 , 67
-241 , -21 , 69
-241 , -21 , 67
-240 , -22 , 70
-241 , -23 , 67
-241 , -22 , 69
-240 , -26 , 70
-239 , -23 , 68
-182 , -1 , 180
-185 , 0 , 173
-178 , 6 , 182
-179 , 4 , 178
-177 , -1 , 179
-176 , 0 , 182
-178 , 8 , 190
-174 , 2 , 181
-182 , 1 , 183
-175 , 3 , 183
-178 , 7 , 179
-177 , 10 , 188
-177 , 5 , 170
-189 , 11 , 172
-212 , 0 , 148
-221 , 8 , 137
-222 , -6 , 97
-234 , -12 , 91
-234 , -2 , 63
-229 , 3 , 57
-255 , 11 , 2
-259 , -13 , -3
-282 , -30 , -18
-285 , -21 , -20
-243 , -7 , -1
-233 , -19 , 6
-219 , -15 , -11
-227 , -24 , -13
-242 , 2 , -6
-255 , 16 , -7
-244 , 2 , 1
-238 , 10 , 11
-244 , 10 , 1
-247 , 15 , 15
-248 , 15 , 15
-249 , 18 , 11
-249 , 9 , 9
-249 , 4 , 14
-249 , 6 , 10
-251 , 6 , 8
-248 , -2 , 2
-248 , -3 , 0
-252 , -2 , -1
-248 , -1 , -2
-243 , -6 , -5
-244 , -8 , -3
-244 , -4 , 0
-240 , -11 , 1
-242 , -5 , 2
-258 , -2 , -1
-247 , -16 , 6
-254 , -10 , 3
-273 , -21 , -2
-284 , -27 , -3
-232 , 26 , 9
-247 , 65 , 50
-211 , 106 , 51
-242 , 72 , 80
-215 , 28 , 105
-206 , 23 , 150
-207 , 24 , 150
-199 , 23 , 150
-189 , 21 , 165
-188 , 11 , 166
-192 , 6 , 181
-184 , 10 , 172
-180 , 8 , 182
-181 , 11 , 176
-178 , 8 , 181
-179 , 7 , 180
-180 , 8 , 179
-179 , 10 , 175
-180 , 8 , 182
-182 , 8 , 181
-180 , 7 , 181
-178 , 8 , 176
-178 , 6 , 187
-178 , 6 , 183
-178 , 5 , 180
-179 , 7 , 180
-180 , 5 , 183
-179 , 5 , 181
-181 , 8 , 174
-181 , 6 , 181
-178 , 9 , 181
-176 , 7 , 181
-179 , 5 , 183
-175 , 7 , 178
-189 , 2 , 176
-201 , -1 , 184
-211 , -3 , 131
-226 , 1 , 137
-229 , 13 , 83
-238 , 5 , 91
-247 , 14 , 52
-245 , 18 , 21
-281 , -20 , -9
-281 , -28 , -21
-292 , -6 , -4
-276 , -7 , 8
-253 , -29 , 5
235 , -19 , -33
-240 , 1 , -21
-233 , 2 , -21
-238 , 13 , -17
-229 , 4 , -5
-243 , -20 , 3
-249 , -29 , 9
-253 , -29 , 5
-249 , -18 , 8
-285 , -19 , -15
-231 , 43 , -13
