-236 , -20 , -57
-243 , -19 , -53
-227 , -50 , -79
-205 , -29 , -68
-201 , -19 , -82
-174 , -20 , -65
-191 , -12 , -62
-228 , -31 , -37
-214 , -26 , -63
-191 , -34 , -45
-224 , -14 , -45
-285 , -33 , -81
-193 , -22 , -23
-213 , -17 , -75
-185 , -40 , -55
-248 , -47 , -56
-201 , -44 , -38
-208 , -29 , -35
-207 , -50 , -62
-228 , -46 , -64
-228 , -23 , -58
-212 , -21 , -64
-188 , -43 , -43
-279 , -47 , -53
-254 , -30 , -74
-231 , -48 , -65
-201 , -53 , -45
-205 , -57 , -45
-226 , -22 , -74
-227 , -62 , -57
-221 , -33 , -64
-201 , -19 , -55
-326 , -94 , -94
-354 , -56 , -55
-220 , -18 , -53
-240 , -47 , -64
-255 , -17 , -38
-213 , 15 , -31
-222 , -36 , -31
-207 , -48 , -90
-241 , -53 , -37
-285 , -45 , -56
-207 , -18 , -36
-222 , -20 , -68
-187 , -24 , -8
-308 , 2 , -30
-204 , -47 , -24
-206 , -31 , -64
-302 , -40 , -38
-340 , -78 , -62
-226 , -40 , -74
-234 , -29 , -65
-221 , -23 , -66
-210 , -26 , -59
-229 , -63 , -67
-202 , -41 , -55
-202 , -17 , -76
-196 , -21 , -46
-237 , -57 , -65
-190 , -28 , -61
-203 , -31 , -81
-218 , -36 , -72
-314 , 4 , -84
-277 , -23 , -75
-223 , -29 , -69
-252 , -40 , -42
-189 , -19 , -52
-190 , -17 , -47
-206 , -32 , -74
-238 , -58 , -63
-229 , -50 , -80
-234 , -28 , -65
-214 , -21 , -75
-210 , -23 , -72
-182 , -25 , -85
-266 , -5 , -71
-207 , -46 , -44
-217 , -14 , -57
-231 , -33 , -61
-252 , -23 , -86
-243 , -21 , -8
-259 , 0 , -53
-253 , -44 , -66
-243 , -35 , -64
-220 , 8 , -23
-236 , 22 , -31
-254 , -9 , -29
-244 , -17 , -30
-245 , -29 , -32
-243 , -40 , -31
-242 , -24 , -37
-244 , -21 , -42
-236 , -37 , -34
-247 , -31 , -41
-243 , -43 , -37
-245 , -40 , -38
-244 , -38 , -41
-244 , -35 , -35
-270 , -31 , -75
-222 , -39 , -53
-254 , -29 , -68
-262 , -40 , -71
-222 , -29 , -40
-210 , -56 , -37
-229 , -27 , -64
-228 , -34 , -97
-256 , 7 , -21
-227 , -19 , -57
-234 , -41 , -62
-226 , -50 , -62
-250 , -43 , -3
-248 , -37 , -12
-238 , -30 , -50
-235 , -28 , -56
-245 , -7 , -47
-241 , -7 , -43
-242 , -14 , -37
-244 , -11 , -42
-246 , -11 , -46
-245 , -14 , -59
-239 , -1 , -58
-248 , -1 , -50
-247 , -4 , -45
-254 , -7 , -35
-239 , 4 , -36
-240 , 5 , -49
-252 , -16 , -44
-271 , 1 , -33
-246 , -26 , -58
-244 , -17 , -57
-291 , -16 , -70
-258 , 4 , -42
-244 , -13 , -50
-237 , -12 , -34
-253 , -23 , -49
-235 , -39 , -63
-233 , -30 , -42
-225 , -35 , -23
-237 , -47 , -61
-236 , -49 , -51
-270 , -24 , -38
-246 , 2 , -28
-235 , -24 , -30
-240 , -22 , -46
-233 , -38 , -45
-217 , -33 , -63
-203 , -51 , -68
-224 , -41 , -76
-323 , -31 , -31
-258 , -38 , -26
-195 , -18 , -37
-191 , -14 , -27
-278 , -15 , -49
-258 , -21 , -31
-228 , -5 , -63
-203 , -19 , -44
-301 , -44 , -53
-314 , -51 , -81
-189 , -32 , -67
-197 , -35 , -57
-255 , 0 , -58
-301 , -14 , -33
-211 , -27 , -80
-194 , -25 , -55
-286 , -52 , -61
-285 , -45 , -82
-185 , -21 , -50
-182 , -20 , -72
-310 , 27 , -53
-320 , -25 , -91
-190 , -40 , -65
-209 , -17 , -67
-355 , -41 , -65
-238 , -58 , -81
-199 , -29 , -66
-187 , -40 , -37
-281 , -41 , -83
-243 , -26 , -52
-210 , -2 , -63
-194 , -22 , -44
-277 , -40 , -86
-213 , -37 , -49
-221 , -31 , -76
-223 , -36 , -76
-402 , -6 , -35
-225 , 21 , -128
-219 , -27 , -56
-218 , -33 , -75
-311 , -54 , -111
-383 , -60 , -96
-203 , -40 , -62
-219 , -40 , -72
-230 , -34 , -56
-342 , -1 , -100
-216 , -35 , -47
-220 , -26 , -80
-166 , -9 , -32
-172 , 1 , -72
-200 , -54 , -57
-200 , -26 , -36
-197 , -43 , -78
-177 , -26 , -46
-266 , -27 , -94
-216 , -14 , -61
-199 , -18 , -86
-205 , -17 , -96
-225 , -44 , -39
-219 , -33 , -63
-352 , 6 , -86
-227 , -11 , -35
-249 , -8 , -29
-228 , -18 , -47
-349 , -42 , -41
-261 , -54 , -21
-228 , -42 , -48
-236 , -45 , -59
-236 , -44 , -89
-294 , -30 , -65
-246 , 6 , -55
-253 , -18 , -39
-243 , -8 , -56
-240 , -22 , -45
-243 , -13 , -45
-241 , -26 , -45
-247 , -21 , -58
-243 , -34 , -56
-238 , -30 , -64
-237 , -29 , -66
-241 , -29 , -67
-237 , -27 , -63
-237 , -31 , -66
-237 , -27 , -67
-237 , -21 , -65
-240 , -27 , -67
-240 , -28 , -71
-237 , -25 , -64
-239 , -24 , -66
-241 , -26 , -63
-241 , -17 , -65
-241 , -24 , -64
-239 , -26 , -66
-241 , -24 , -63
-239 , -27 , -63
-240 , -25 , -63
-241 , -27 , -65
-236 , -29 , -62
-234 , -39 , -65
-239 , -34 , -62
-247 , -9 , -52
-254 , -12 , -76
-240 , -15 , -44
-250 , -21 , -54
-218 , -23 , -91
-230 , -39 , -48
233 , -33 , -59
-233 , -29 , -68
-243 , -19 , -76
-249 , -25 , -75
-256 , 17 , -21
-254 , 19 , -31
-237 , -14 , -56
-237 , -10 , -49
-257 , -40 , -32
-240 , -55 , -18
