-233 , -17 , -84
-232 , -28 , -84
-219 , -45 , -40
-243 , -52 , -39
-229 , -53 , -69
-227 , -37 , -69
-271 , -12 , -91
-223 , -20 , -63
-240 , -22 , -62
-229 , -22 , -58
-232 , -36 , -74
-248 , -45 , -84
-226 , -42 , -77
-218 , -65 , -65
-233 , -38 , -82
-223 , -36 , -65
-245 , 2 , -55
-230 , -26 , -82
-227 , -52 , -82
-217 , -51 , -78
-279 , -40 , -85
-275 , -85 , -67
-232 , -71 , -18
-216 , -42 , -25
-235 , -23 , -118
-219 , -12 , -63
-294 , -6 , -55
-289 , -4 , -71
-241 , -18 , -56
-198 , -31 , -28
-224 , -25 , -50
-249 , -40 , -41
-223 , -41 , -25
-260 , -62 , -12
-203 , -42 , -47
-224 , -29 , -51
-247 , -48 , -78
-256 , -47 , -73
-253 , 22 , 14
-251 , -2 , 0
-230 , -25 , -33
-239 , -31 , -48
-290 , -32 , -47
-346 , -26 , 4
-219 , -27 , -10
-221 , -35 , -44
-236 , -26 , -63
-216 , -35 , -49
-301 , -17 , -59
-358 , -18 , -28
-217 , 1 , -25
-196 , -24 , -9
-231 , -37 , -55
-227 , -38 , -46
-374 , -35 , -24
-272 , -34 , -25
-205 , -29 , -63
-199 , -21 , -27
-223 , -26 , -47
-220 , -20 , -79
-282 , -2 , -22
-244 , 8 , -12
-184 , -23 , -27
-214 , -20 , -32
-241 , -47 , -47
-245 , -42 , -42
-266 , -44 , 2
-242 , -44 , 7
-210 , -10 , -39
-224 , -13 , -44
-227 , -11 , -35
-225 , -21 , -66
-284 , 8 , -24
-240 , 12 , -17
-177 , -21 , -13
-204 , -15 , -16
-239 , -34 , -35
-248 , -33 , -40
-254 , -46 , -2
-247 , -60 , 5
-220 , -9 , -15
-236 , -29 , -20
-227 , -14 , -92
-221 , -19 , -38
-266 , 2 , -21
-273 , 4 , -18
-192 , -30 , -16
-236 , -10 , -23
-245 , -33 , -45
-254 , -40 , -40
-223 , -43 , -4
-255 , -49 , 10
-224 , -26 , -36
-237 , -42 , -58
-246 , -18 , -46
-219 , -22 , -57
-294 , -11 , -17
-265 , 15 , -24
-251 , 8 , 12
-230 , 14 , 1
-232 , 12 , -18
-245 , 9 , -11
-252 , -1 , -14
-254 , 0 , -21
-273 , -37 , 13
-259 , -52 , 17
-202 , -3 , 5
-208 , -22 , 6
-237 , -46 , -34
-250 , -44 , -41
-219 , -36 , -53
-219 , -39 , -33
-290 , 1 , -44
-323 , -13 , -48
-243 , -12 , -27
-238 , 10 , -113
-242 , -18 , -53
-237 , -21 , -61
-233 , -27 , -7
-237 , -34 , -29
-244 , -20 , -31
-247 , -28 , -41
-233 , 10 , -16
-254 , -3 , -18
-258 , -11 , -24
-244 , -21 , -7
-244 , -15 , -28
-268 , -24 , -42
-227 , -44 , -48
-239 , -67 , -31
-256 , 0 , -29
-259 , 15 , -35
-260 , -7 , -56
-239 , -31 , -36
-227 , -52 , -50
-246 , -57 , -33
-245 , -35 , -38
-235 , -45 , -25
-250 , -35 , -46
-245 , -39 , -54
-234 , -48 , -33
-249 , -50 , -61
-248 , -55 , 8
-235 , -44 , 1
-227 , -42 , -53
-233 , -42 , -64
-273 , -4 , -7
-235 , -15 , -5
-256 , -33 , -62
-226 , -15 , -37
-233 , -53 , -43
-238 , -75 , -101
-230 , -28 , -70
-235 , -35 , -55
-237 , -11 , -48
-249 , -6 , -51
-242 , -14 , -40
-245 , -21 , -57
-244 , -15 , -48
-246 , -20 , -49
-245 , 0 , -42
-245 , -9 , -34
-248 , 14 , -52
-246 , 15 , -33
-250 , 2 , -42
-244 , -1 , -26
-236 , -21 , -14
-271 , -18 , -27
-234 , 17 , -56
-234 , 22 , -50
-250 , 5 , -35
-229 , 14 , -16
-234 , -25 , -39
-244 , -25 , -42
-214 , -5 , -37
-252 , -42 , 7
-239 , -26 , -63
-236 , -18 , -55
-254 , -1 , -45
-243 , 6 , -22
-256 , -13 , -62
-242 , -44 , -69
-280 , -24 , -52
-302 , -32 , -26
-236 , -48 , -39
-241 , -36 , -46
-232 , -34 , -78
-227 , -23 , -70
-219 , -33 , -62
-213 , -51 , -65
-293 , -36 , -58
-288 , -43 , -59
-232 , 24 , -46
-225 , -5 , -57
-259 , -17 , -49
-283 , -6 , -57
-243 , -39 , 2
-240 , -18 , -11
-207 , -15 , -40
-207 , -22 , -38
-332 , -25 , -45
-228 , 1 , -19
-207 , -32 , -90
-186 , -40 , -16
-290 , -38 , -56
-300 , -57 , -59
-226 , -33 , 1
-216 , -41 , -11
-214 , -36 , -49
-229 , -38 , -55
-271 , -20 , -11
-240 , -1 , -14
-212 , -23 , -72
-196 , -61 , -35
-261 , -59 , -55
-269 , -59 , -50
-239 , -48 , 9
-238 , -38 , -19
-198 , -38 , -61
-220 , -49 , -57
-267 , -27 , -11
-275 , -39 , 0
-215 , -18 , -29
-217 , -10 , -26
-268 , -53 , -58
-319 , -52 , -35
-219 , -44 , 0
-199 , -44 , -69
-224 , -38 , -42
-221 , -43 , -53
-345 , -30 , -50
-228 , -15 , -13
-219 , 2 , -33
-221 , -26 , -23
-254 , -38 , -47
-274 , -49 , -42
-223 , -21 , 4
-218 , -25 , -57
-205 , -27 , -56
-213 , -22 , -59
-256 , -2 , -27
-226 , 1 , -18
-198 , -27 , -63
-201 , -50 , -27
-345 , -42 , -41
-375 , -45 , -9
-196 , -41 , -38
-205 , -25 , -28
-236 , -19 , -45
-240 , -37 , -61
-245 , 9 , -14
-267 , 3 , 9
-224 , -12 , -25
-230 , -7 , -25
-279 , -38 , -42
-330 , -47 , -33
-213 , -43 , -23
-225 , -57 , -27
-235 , -42 , -16
-246 , -50 , -36
-246 , -50 , -33
-249 , -39 , -15
-234 , -3 , -67
-237 , 1 , -60
-319 , 9 , -49
-301 , -14 , -43
-211 , 0 , -15
-220 , 1 , -12
-230 , -11 , -32
-252 , -29 , -43
-322 , 4 , -31
-242 , -10 , -35
-263 , -42 , -22
-251 , -47 , -65
-242 , -20 , -52
-246 , -15 , -52
-218 , 10 , -8
-241 , 1 , -17
-243 , -15 , -34
-258 , -10 , -40
-246 , -40 , -37
-238 , -35 , -51
-241 , -27 , -53
-243 , -36 , -55
-247 , -14 , -52
-240 , -29 , -50
-242 , -20 , -60
-240 , -29 , -58
-243 , -28 , -57
-242 , -25 , -55
-243 , -22 , -62
-241 , -23 , -57
-241 , -20 , -56
-241 , -20 , -59
-242 , -23 , -56
-244 , -23 , -55
-240 , -25 , -56
-243 , -23 , -51
